Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
01/02/2025,Ipswich,Southampton,1,2,A,1.95,3.6,3.8
01/02/2025,Newcastle,Fulham,1,2,A,1.7,4.0,4.75
01/02/2025,Wolves,Aston Villa,2,0,H,3.3,3.6,2.1
02/02/2025,Brentford,Tottenham,0,2,A,2.1,3.9,3.2
02/02/2025,Man United,Crystal Palace,0,2,A,2.0,3.5,3.8
02/02/2025,Arsenal,Man City,5,1,H,1.95,3.5,4.0
03/02/2025,Chelsea,West Ham,2,1,H,1.36,4.75,8.0
12/02/2025,Everton,Liverpool,2,2,D,7.5,4.5,1.44
14/02/2025,Brighton,Chelsea,3,0,H,2.7,3.6,2.45
15/02/2025,Leicester,Arsenal,0,2,A,8.5,5.0,1.33
15/02/2025,Aston Villa,Ipswich,1,1,D,1.4,4.75,7.0
15/02/2025,Fulham,Nott'm Forest,2,1,H,2.2,3.4,3.3
15/02/2025,Man City,Newcastle,4,0,H,1.95,4.2,3.3
15/02/2025,Southampton,Bournemouth,1,3,A,6.0,4.5,1.5
15/02/2025,West Ham,Brentford,0,1,A,2.35,3.6,2.88
15/02/2025,Crystal Palace,Everton,1,2,A,1.8,3.4,5.0
16/02/2025,Liverpool,Wolves,2,1,H,1.15,8.0,12.0
16/02/2025,Tottenham,Man United,1,0,H,2.45,3.75,2.62
19/02/2025,Aston Villa,Liverpool,2,2,D,3.9,4.0,1.83
21/02/2025,Leicester,Brentford,0,4,A,3.6,3.8,1.91
22/02/2025,Everton,Man United,2,2,D,2.5,3.2,2.9
22/02/2025,Arsenal,West Ham,0,1,A,1.27,6.0,10.0
22/02/2025,Bournemouth,Wolves,0,1,A,1.53,4.5,5.5
22/02/2025,Fulham,Crystal Palace,0,2,A,2.05,3.4,3.7
22/02/2025,Ipswich,Tottenham,1,4,A,4.1,3.6,1.9
22/02/2025,Southampton,Brighton,0,4,A,6.0,4.1,1.55
22/02/2025,Aston Villa,Chelsea,2,1,H,2.63,3.4,2.6
23/02/2025,Newcastle,Nott'm Forest,4,3,H,1.8,3.8,4.2
23/02/2025,Man City,Liverpool,0,2,A,2.88,3.8,2.25
25/02/2025,Brighton,Bournemouth,2,1,H,2.0,3.8,3.3
25/02/2025,Crystal Palace,Aston Villa,4,1,H,2.45,3.4,2.8
25/02/2025,Wolves,Fulham,1,2,A,2.63,3.3,2.63
25/02/2025,Chelsea,Southampton,4,0,H,1.17,8.0,13.0
26/02/2025,Brentford,Everton,1,1,D,2.0,3.7,3.5
26/02/2025,Man United,Ipswich,3,2,H,1.53,4.33,6.0
26/02/2025,Nott'm Forest,Arsenal,0,0,D,3.9,3.6,1.95
26/02/2025,Tottenham,Man City,0,1,A,3.25,4.0,2.0
26/02/2025,Liverpool,Newcastle,2,0,H,1.5,4.5,5.75
27/02/2025,West Ham,Leicester,2,0,H,1.62,4.2,5.0
08/03/2025,Nott'm Forest,Man City,1,0,H,4.0,3.75,1.85
08/03/2025,Brighton,Fulham,2,1,H,1.95,3.6,3.75
08/03/2025,Crystal Palace,Ipswich,1,0,H,1.45,4.75,6.25
08/03/2025,Liverpool,Southampton,3,1,H,1.1,9.0,19.0
08/03/2025,Brentford,Aston Villa,0,1,A,2.2,3.8,2.9
08/03/2025,Wolves,Everton,1,1,D,2.6,3.1,2.88
09/03/2025,Chelsea,Leicester,1,0,H,1.18,8.0,12.0
09/03/2025,Tottenham,Bournemouth,2,2,D,2.7,3.9,2.35
09/03/2025,Man United,Arsenal,1,1,D,5.75,3.5,1.7
10/03/2025,West Ham,Newcastle,0,1,A,3.25,3.4,2.2
